key,en,ru,uk
_tr,Other localization,,
txt_credits,"[font=res://ui/font_h2.tres]Font[/font]
- [url=https://datagoblin.itch.io/monogram]monogram[/url] by datagoblin

[font=res://ui/font_h2.tres]SFX and Music[/font]
 - [url=https://gustavosperling.itch.io/]Gustavo Sperling[/url]

[font=res://ui/font_h2.tres]Art[/font]
- [url=https://merly23.itch.io/]Merly23[/url]

[font=res://ui/font_h2.tres]Code[/font]
- [url=https://dmitriy-shmilo.itch.io/]Dmitriy Shmilo[/url]
- Game sources are avaiable on [url=https://github.com/dmitriy-shmilo/jg19]github[/url]\n","[font=res://ui/font_h2.tres]Шрифт[/font]
- [url=https://datagoblin.itch.io/monogram]monogram[/url], datagoblin

[font=res://ui/font_h2.tres]Звук[/font]
 - [url=https://gustavosperling.itch.io/]Gustavo Sperling[/url]

[font=res://ui/font_h2.tres]Арт[/font]
- [url=https://merly23.itch.io/]Merly23[/url]

[font=res://ui/font_h2.tres]Код[/font]
- [url=https://dmitriy-shmilo.itch.io/]Dmitriy Shmilo[/url]
- Код доступен на [url=https://github.com/dmitriy-shmilo/jg19]гитхабе[/url]\n","[font=res://ui/font_h2.tres]Шрифт[/font]
- [url=https://datagoblin.itch.io/monogram]monogram[/url], datagoblin

[font=res://ui/font_h2.tres]Звук[/font]
 - [url=https://gustavosperling.itch.io/]Gustavo Sperling[/url]

[font=res://ui/font_h2.tres]Арт[/font]
- [url=https://merly23.itch.io/]Merly23[/url]

[font=res://ui/font_h2.tres]Код[/font]
- [url=https://dmitriy-shmilo.itch.io/]Dmitriy Shmilo[/url]
- Код доступний на [url=https://github.com/dmitriy-shmilo/jg19]гітхабі[/url]\n"
txt_tutorial,How to play,Как играть,Як грати
txt_hint_movement,[%s] and [%s] to move,Движение: [%s] и [%s],Рух: [%s] и [%s]
txt_hint_jump,[%s] to jump,Прыжок: [%s],Стрибок: [%s]
txt_hint_mirror,Your other half mirrors your actions,Вторая половина отзеркаливает ваши действия,Друга половина віддзеркалює ваші дії
txt_hint_reunite,Reunite with your other half,Соединитесь со второй половиной,З'єднайтесь з другою половиною
txt_hint_darkness,Darkness is spreading! Run away!,Тьма распространяется! Бегите!,Темрява поширюється! Тікайте!
txt_hint_reset,[%s] to reset the level,Рестарт: [%s],Рестарт: [%s]
txt_hint_danger,Beware of sharp things!,Осторожнее с острыми штуками!,Обережно з гострими штуками!
txt_hint_long_jump,Hold [%s] to go higher.,Удерживайте [%s] чтобы прыгнуть выше.,Утримуйте [%s] щоб стрибнути вище.
txt_hint_bugs,Bugs bite!,Жуки кусаются!,Жуки кусаються!
txt_hint_crumble,These rocks don't look very stable.,Это не очень стабильные камни.,Це не дуже стабільне каміння.
